G22196LK	WURCS=2.0/4,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5_2*NCC/3=O_3|4*OSO/3=O/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-2-1-4/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_h?-i1
G71280GW	WURCS=2.0/2,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-2-2-2-2-2-2-2-2/a?-b1_b?-c1_b?-h1_c?-d1_c?-f1_d?-e1_f?-g1_h?-i1
G37083LB	WURCS=2.0/5,18,17/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][Aad21122h-2x_2-6_5*NCCO/3=O]/1-1-2-2-1-3-1-3-4-1-3-2-1-3-5-1-3-1/a?-b1_b?-c1_c?-d1_c?-l1_c?-r1_d?-e1_d?-j1_e?-f1_f?-g1_g?-h1_h?-i2_j?-k1_l?-m1_l?-p1_m?-n1_n?-o2_p?-q1
G48472LJ	WURCS=2.0/4,10,9/[a2112h-1x_1-5_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][a1221m-1x_1-5]/1-2-3-2-4-3-3-2-4-3/a?-b1_a?-g1_b?-c1_c?-d1_d?-e1_d?-f1_g?-h1_h?-i1_h?-j1
G97536QO	WURCS=2.0/1,5,4/[a1122m-1x_1-5_4*N]/1-1-1-1-1/a?-b1_b?-c1_c?-d1_d?-e1
G39256XF	WURCS=2.0/4,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCCO/3=O]/1-1-2-2-1-3-4-1-3-4-2-1-3-4-4/a?-b1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_i?-j2_k?-l1_l?-m1_l?-o2_m?-n2
G76100HA	WURCS=2.0/5,7,6/[u2211m][a1122h-1x_1-5][a2112h-1x_1-5][a2211m-1x_1-5][a2d12m-1x_1-5]/1-2-3-4-2-5-3/a?-b1_b?-c1_c?-d1_d?-e1_e?-f1_e?-g1
G82786TM	WURCS=2.0/6,20,19/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-4-5-1-3-4-5-2-1-3-4-5-1-6-1/a?-b1_b?-c1_c?-d1_c?-m1_c?-t1_d?-e1_d?-i1_e?-f1_e?-h1_f?-g2_i?-j1_i?-l1_j?-k2_m?-n1_m?-r1_n?-o1_n?-q1_o?-p2_r?-s1
G82786TM	WURCS=2.0/6,20,19/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-4-5-1-3-4-5-2-1-3-4-5-1-6-1/a?-b1_b?-c1_c?-d1_c?-m1_c?-t1_d?-e1_d?-i1_e?-f1_e?-h1_f?-g2_i?-j1_i?-l1_j?-k2_m?-n1_m?-r1_n?-o1_n?-q1_o?-p2_r?-s1
G17593CN	WURCS=2.0/6,15,14/[h2122h_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a4344h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-2-3-3-4-5-6-6-2-5-6-3-2-5-6/a?-b1_b?-c1_c?-d1_c?-l1_d?-e1_d?-i1_e?-f1_e?-h2_f?-g2_i?-j1_j?-k2_l?-m1_m?-n1_n?-o2
G38979OV	WURCS=2.0/2,2,1/[a2122h-1x_1-5][a212h-1x_1-5]/1-2/a?-b1
G85906IB	WURCS=2.0/4,8,7/[h1122h_2-5][a2122A-1x_1-5][a2122h-1x_1-5_2*NCC/3=O][a2122h-1x_1-5_2*NSO/3=O/3=O]/1-2-3-2-4-2-3-2/a?-b1_b?-c1_c?-d1_d?-e1_e?-f1_f?-g1_g?-h1
G85906IB	WURCS=2.0/4,8,7/[h1122h_2-5][a2122A-1x_1-5][a2122h-1x_1-5_2*NCC/3=O][a2122h-1x_1-5_2*NSO/3=O/3=O]/1-2-3-2-4-2-3-2/a?-b1_b?-c1_c?-d1_d?-e1_e?-f1_f?-g1_g?-h1
G45692IH	WURCS=2.0/4,6,5/[h2112h_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O][a2112m-1x_1-5][a2112h-1x_1-5]/1-2-3-2-4-3/a?-b1_a?-e1_b?-c1_b?-d1_e?-f1
G85445AQ	WURCS=2.0/3,3,2/[a2221m-1x_1-?][a2211m-1x_1-5][a1221m-1x_1-5_2*OC_3*OC]/1-2-3/a?-b1_b?-c1
G22244UZ	WURCS=2.0/4,10,9/[u2122h][a2112h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O][Aad21122h-2x_2-6_5*NCC/3=O]/1-2-3-2-3-2-2-3-2-4/a?-b1_b?-c1_c?-d1_d?-e1_d?-h1_e?-f1_f?-g1_h?-i1_i?-j2
G29331WV	WURCS=2.0/3,3,2/[a2122h-1x_1-5_2*NCC/3=O][a1221m-1x_1-5][a2112h-1x_1-5_3*SO/2=O/2=O]/1-2-3/a?-b1_a?-c1
G68608LT	WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a1221m-1x_1-5][a2112h-1x_1-5_2*NCC/3=O]/1-2-3/a?-b1_a?-c1
G68608LT	WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a1221m-1x_1-5][a2112h-1x_1-5_2*NCC/3=O]/1-2-3/a?-b1_a?-c1
G26871EU	WURCS=2.0/4,6,5/[h2122h][a2112h-1x_1-5][a2112h-1x_1-5_2*NCC/3=O][Aad21122h-2x_2-6_5*NCC/3=O]/1-2-3-2-4-4/a?-b1_b?-c1_b?-f2_c?-d1_d?-e2
G09182TI	WURCS=2.0/4,6,5/[a2112h-1x_1-5_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][a1221m-1x_1-5]/1-2-3-2-4-3/a?-b1_a?-f1_b?-c1_b?-e1_c?-d1
G60698JD	WURCS=2.0/4,4,3/[u2122h_2*NCC/3=O][a2112h-1x_1-5][a2112h-1x_1-5_2*NCC/3=O][a1221m-1x_1-5]/1-2-3-4/a?-b1_a?-d1_b?-c1
G83053SZ	WURCS=2.0/2,3,2/[a2122h-1x_1-5][a2122h-1x_1-5_6*OC]/1-2-2/a?-b1_b?-c1
